trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
553,False,"{'a': 0.2435, 'e': 0.19032921418280985}",25,8,-9.514568877869634,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
554,False,"{'a': 0.243, 'e': 0.18975908216588572}",25,13,9.551369756635644,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
555,False,"{'a': 0.2425, 'e': 0.18919065798198204}",25,16,14.852059932366307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.242, 'e': 0.1886239365152772}",30,0,-50.36590150649062,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
557,False,"{'a': 0.2415, 'e': 0.18805891266527416}",30,22,-7.218204057399349,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
558,False,"{'a': 0.241, 'e': 0.18749558134675456}",20,10,15.829012701078621,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.2405, 'e': 0.18693393748973264}",25,11,13.805533678230093,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
560,False,"{'a': 0.24, 'e': 0.18637397603940997}",20,9,20.210169431116658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.2395, 'e': 0.18581569195612965}",25,14,12.835333608481434,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.239, 'e': 0.18525908021533122}",20,15,9.612080812867406,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
